fecha,demandamaximadepotencia,unidad
1980-01,3909,MW
1980-02,4032,MW
1980-03,4169,MW
1980-04,4089,MW
1980-05,4154,MW
1980-06,4511,MW
1980-07,4679,MW
1980-08,4327,MW
1980-09,4162,MW
1980-10,3941,MW
1980-11,3942,MW
1980-12,4442,MW
1981-01,4325,MW
1981-02,4452,MW
1981-03,4553,MW
1981-04,4495,MW
1981-05,4510,MW
1981-06,5048,MW
1981-07,4879,MW
1981-08,4590,MW
1981-09,4655,MW
1981-10,4368,MW
1981-11,4393,MW
1981-12,4602,MW
1982-01,4485,MW
1982-02,4615,MW
1982-03,4808,MW
1982-04,4569,MW
1982-05,4416,MW
1982-06,4911,MW
1982-07,4820,MW
1982-08,4698,MW
1982-09,4553,MW
1982-10,4485,MW
1982-11,4575,MW
1982-12,4728,MW
1983-01,4564,MW
1983-02,4567,MW
1983-03,4720,MW
1983-04,4632,MW
1983-05,5098,MW
1983-06,5301,MW
1983-07,5166,MW
1983-08,5135,MW
1983-09,4876,MW
1983-10,4726,MW
1983-11,4780,MW
1983-12,4982,MW
1984-01,4886,MW
1984-02,4653,MW
1984-03,4931,MW
1984-04,4957,MW
1984-05,5272,MW
1984-06,5919,MW
1984-07,5720,MW
1984-08,5503,MW
1984-09,5183,MW
1984-10,4943,MW
1984-11,4928,MW
1984-12,5071,MW
1985-01,5338,MW
1985-02,5311,MW
1985-03,5624,MW
1985-04,5536,MW
1985-05,5694,MW
1985-06,5976,MW
1985-07,6046,MW
1985-08,6024,MW
1985-09,5900,MW
1985-10,5475,MW
1985-11,5715,MW
1985-12,5725,MW
1986-01,5731,MW
1986-02,5768,MW
1986-03,5753,MW
1986-04,6034,MW
1986-05,6342,MW
1986-06,6251,MW
1986-07,6501,MW
1986-08,6691,MW
1986-09,6590,MW
1986-10,6095,MW
1986-11,6072,MW
1986-12,6257,MW
1987-01,6442,MW
1987-02,6329,MW
1987-03,6577,MW
1987-04,6548,MW
1987-05,7543,MW
1987-06,7585,MW
1987-07,7481,MW
1987-08,7842,MW
1987-09,7190,MW
1987-10,6879,MW
1987-11,7217,MW
1987-12,7291,MW
1988-01,7176,MW
1988-02,6821,MW
1988-03,7471,MW
1988-04,7232,MW
1988-05,7785,MW
1988-06,7783,MW
1988-07,7949,MW
1988-08,7463,MW
1988-09,6996,MW
1988-10,6705,MW
1988-11,7129,MW
1988-12,7020,MW
1989-01,7098,MW
1989-02,7174,MW
1989-03,6974,MW
1989-04,6991,MW
1989-05,7155,MW
1989-06,7041,MW
1989-07,7495,MW
1989-08,6442,MW
1989-09,6401,MW
1989-10,6241,MW
1989-11,6408,MW
1989-12,6548,MW
1990-01,6645,MW
1990-02,6388,MW
1990-03,6375,MW
1990-04,6345,MW
1990-05,6975,MW
1990-06,7190,MW
1990-07,7049,MW
1990-08,6898,MW
1990-09,6892,MW
1990-10,6645,MW
1990-11,6700,MW
1990-12,6664,MW
1991-01,6610,MW
1991-02,6594,MW
1991-03,7111,MW
1991-04,6952,MW
1991-05,7295,MW
1991-06,7723,MW
1991-07,7886,MW
1991-08,7892,MW
1991-09,7409,MW
1991-10,7301,MW
1991-11,7331,MW
1991-12,7147,MW
1992-01,7353,MW
1992-02,7573,MW
1992-03,7974,MW
1992-04,7810,MW
1992-05,8411,MW
1992-06,8715,MW
1992-07,9035,MW
1992-08,8799,MW
1992-09,8386,MW
1992-10,8080,MW
1992-11,7565,MW
1992-12,7757,MW
1993-01,8065,MW
1993-02,7906,MW
1993-03,8749,MW
1993-04,8317,MW
1993-05,9105,MW
1993-06,9126,MW
1993-07,9325,MW
1993-08,9158,MW
1993-09,9056,MW
1993-10,8481,MW
1993-11,8540,MW
1993-12,8759,MW
1994-01,8660,MW
1994-02,8774,MW
1994-03,9274,MW
1994-04,9037,MW
1994-05,9263,MW
1994-06,9842,MW
1994-07,10104,MW
1994-08,9547,MW
1994-09,9531,MW
1994-10,9081,MW
1994-11,9394,MW
1994-12,9820,MW
1995-01,9386,MW
1995-02,9253,MW
1995-03,9890,MW
1995-04,9550,MW
1995-05,9563,MW
1995-06,10190,MW
1995-07,10213,MW
1995-08,10117,MW
1995-09,9317,MW
1995-10,9659,MW
1995-11,9614,MW
1995-12,10058,MW
1996-01,9805,MW
1996-02,10186,MW
1996-03,10479,MW
1996-04,10193,MW
1996-05,10426,MW
1996-06,11243,MW
1996-07,11081,MW
1996-08,10423,MW
1996-09,10181,MW
1996-10,10487,MW
1996-11,10830,MW
1996-12,10842,MW
1997-01,10721,MW
1997-02,10899,MW
1997-03,10971,MW
1997-04,11399,MW
1997-05,11366,MW
1997-06,11776,MW
1997-07,11656,MW
1997-08,11661,MW
1997-09,10959,MW
1997-10,11066,MW
1997-11,11161,MW
1997-12,11526,MW
1998-01,11393,MW
1998-02,11361,MW
1998-03,12220,MW
1998-04,11399,MW
1998-05,11821,MW
1998-06,12269,MW
1998-07,12033,MW
1998-08,12085,MW
1998-09,11684,MW
1998-10,11990,MW
1998-11,11766,MW
1998-12,12034,MW
1999-01,11382,MW
1999-02,12259,MW
1999-03,12650,MW
1999-04,11734,MW
1999-05,12112,MW
1999-06,12545,MW
1999-07,12730,MW
1999-08,12503,MW
1999-09,11862,MW
1999-10,12154,MW
1999-11,12470,MW
1999-12,12640,MW
2000-01,12788,MW
2000-02,12808,MW
2000-03,12709,MW
2000-04,12347,MW
2000-05,12641,MW
2000-06,13211,MW
2000-07,13754,MW
2000-08,12781,MW
2000-09,12969,MW
2000-10,12412,MW
2000-11,12621,MW
2000-12,13224,MW
2001-01,13501,MW
2001-02,14061,MW
2001-03,13780,MW
2001-04,12866,MW
2001-05,12968,MW
2001-06,13639,MW
2001-07,13794,MW
2001-08,13030,MW
2001-09,12642,MW
2001-10,12365,MW
2001-11,12595,MW
2001-12,12626,MW
2002-01,12296,MW
2002-02,13481,MW
2002-03,13481,MW
2002-04,12209,MW
2002-05,12444,MW
2002-06,13428,MW
2002-07,13405,MW
2002-08,12908,MW
2002-09,12392,MW
2002-10,12394,MW
2002-11,12828,MW
2002-12,12939,MW
2003-01,13774,MW
2003-02,13900,MW
2003-03,13721,MW
2003-04,12670,MW
2003-05,13218,MW
2003-06,13567,MW
2003-07,14359,MW
2003-08,14331,MW
2003-09,13570,MW
2003-10,13384,MW
2003-11,13461,MW
2003-12,14185,MW
2004-01,14350,MW
2004-02,14207,MW
2004-03,14655,MW
2004-04,14732,MW
2004-05,14257,MW
2004-06,14512,MW
2004-07,14789,MW
2004-08,14848,MW
2004-09,13611,MW
2004-10,13569,MW
2004-11,14708,MW
2004-12,15032,MW
2005-01,15129,MW
2005-02,15253,MW
2005-03,15211,MW
2005-04,14552,MW
2005-05,14900,MW
2005-06,15699,MW
2005-07,15792,MW
2005-08,15648,MW
2005-09,15485,MW
2005-10,14799,MW
2005-11,16143,MW
2005-12,15657,MW
2006-01,15831,MW
2006-02,16753,MW
2006-03,15723,MW
2006-04,15212,MW
2006-05,16224,MW
2006-06,16406,MW
2006-07,16777,MW
2006-08,16686,MW
2006-09,16448,MW
2006-10,16649,MW
2006-11,16579,MW
2006-12,16689,MW
2006-01,15831,MW
2006-02,16753,MW
2006-03,16335,MW
2006-04,15898,MW
2006-05,16876,MW
2006-06,17037,MW
2006-07,17395,MW
2006-08,17309,MW
2006-09,17097,MW
2006-10,17252,MW
2006-11,17237,MW
2006-12,17323,MW
2007-01,17073,MW
2007-02,17654,MW
2007-03,17400,MW
2007-04,17881,MW
2007-05,18279,MW
2007-06,18345,MW
2007-07,17743,MW
2007-08,17669,MW
2007-09,16590,MW
2007-10,16745,MW
2007-11,17291,MW
2007-12,17786,MW
2008-01,17885,MW
2008-02,17930,MW
2008-03,17697,MW
2008-04,17129,MW
2008-05,18670,MW
2008-06,19126,MW
2008-07,18389,MW
2008-08,18071,MW
2008-09,17615,MW
2008-10,16652,MW
2008-11,18441,MW
2008-12,17571,MW
2009-01,17351,MW
2009-02,18596,MW
2009-03,17218,MW
2009-04,16963,MW
2009-05,17780,MW
2009-06,18948,MW
2009-07,19566,MW
2009-08,17862,MW
2009-09,17895,MW
2009-10,18023,MW
2009-11,17426,MW
2009-12,18422,MW
2010-01,19370,MW
2010-02,19332,MW
2010-03,18408,MW
2010-04,16937,MW
2010-05,18228,MW
2010-06,18770,MW
2010-07,20396,MW
2010-08,20743,MW
2010-09,19346,MW
2010-10,17211,MW
2010-11,18353,MW
2010-12,20209,MW
2011-01,20531,MW
2011-02,20171,MW
2011-03,20913,MW
2011-04,18309,MW
2011-05,18765,MW
2011-06,21024,MW
2011-07,20491,MW
2011-08,21564,MW
2011-09,18648,MW
2011-10,17565,MW
2011-11,19508,MW
2011-12,20513,MW
2012-01,21309,MW
2012-02,21949,MW
2012-03,20095,MW
2012-04,18264,MW
2012-05,18472,MW
2012-06,20978,MW
2012-07,20912,MW
2012-08,19995,MW
2012-09,18626,MW
2012-10,17834,MW
2012-11,20991,MW
2012-12,20921,MW
2013-01,21982,MW
2013-02,22169,MW
2013-03,19523,MW
2013-04,18443,MW
2013-05,20035,MW
2013-06,21270,MW
2013-07,22552,MW
2013-08,21773,MW
2013-09,21711,MW
2013-10,19484,MW
2013-11,20436,MW
2013-12,23794,MW
2014-01,24034,MW
2014-02,21507,MW
2014-03,19105,MW
2014-04,19537,MW
2014-05,20933,MW
2014-06,21716,MW
2014-07,21950,MW
2014-08,20947,MW
2014-09,19419,MW
2014-10,22147,MW
2014-11,22055,MW
2014-12,23104,MW
2015-01,23949,MW
2015-02,23573,MW
2015-03,23409,MW
2015-04,20116,MW
2015-05,20450,MW
2015-06,23529,MW
2015-07,22997,MW
2015-08,22363,MW
2015-09,21398,MW
2015-10,20628,MW
2015-11,20411,MW
2015-12,23727,MW
2016-01,24885,MW
2016-02,25380,MW
2016-03,23139,MW
2016-04,21340,MW
2016-05,21679,MW
2016-06,22638,MW
2016-07,22230,MW
2016-08,21483,MW
2016-09,22265,MW
2016-10,19051,MW
2016-11,20425,MW
2016-12,23266,MW
2017-01,24717,MW
2017-02,25628,MW
2017-03,24906,MW
2017-04,20056,MW
2017-05,22058,MW
2017-06,22987,MW
2017-07,,MW
2017-08,,MW
2017-09,,MW
2017-10,,MW
2017-11,,MW
2017-12,,MW
